Web	Ecotype	Site	Latitude	Species	Links	Connectance	LS	LinkSD	Gen	GenSD	Vul	VulSD	Path	SWTL	Clus	Basal	Herbivores	Intermediate	Toppreds
Coyote.web	stream	Coyote	37.88732222	170	7828	0.270865051903	46.0470588235	28.7653145611	23.9390243902	27.4692056235	23.0941176471	21.7280645463	1.31681169509	1.0	0.4558724634	0.0352941176471	0.358823529412	0.576470588235	0.0294117647059
WEB89.web	stream	Shepreth	52.21666667	18	64	0.197530864198	3.55555555556	1.64053589558	2.28571428571	1.27775313	1.77777777778	1.58308964986	0.290849673203	1.0	0.136111111111	0.222222222222	0.333333333333	0.277777777778	0.166666666667
Alford.web	lake	Alford	44.26155278	21	126	0.285714285714	6.0	3.81725406168	4.26666666667	4.13870618538	3.04761904762	1.75868431549	0.319047619048	1.0	0.345263660224	0.285714285714	0.380952380952	0.285714285714	0.047619047619
Beaver.web	lake	Beaver	44.31614722	23	155	0.293005671078	6.73913043478	3.89537071965	5.26666666667	3.87240952839	3.4347826087	1.3457206557	0.391304347826	1.0	0.346920958788	0.347826086957	0.304347826087	0.347826086957	0.0
Bridge.web	lake	Bridge	44.16185	27	249	0.341563786008	9.22222222222	4.79325658003	7.0	4.3461349368	4.66666666667	2.90593262903	0.403133903134	1.0	0.348730668402	0.333333333333	0.259259259259	0.37037037037	0.037037037037
Chub.web	lake	Chub	43.5276	28	299	0.38137755102	10.6785714286	5.27907401435	7.2380952381	5.22726152383	5.42857142857	2.78296567697	0.466931216931	1.0	0.385396594343	0.25	0.321428571429	0.428571428571	0.0
Connery.web	lake	Connery	44.31169444	7	15	0.30612244898	2.14285714286	1.39239919212	2.0	1.22474487139	1.14285714286	0.832993127835	0.261904761905	1.0	0.173076923077	0.428571428571	0.285714285714	0.142857142857	0.142857142857
Stink.web	lake	Stink	43.63218889	22	165	0.340909090909	7.5	4.09822578019	5.6	4.09552601424	3.81818181818	2.187492621	0.372294372294	1.0	0.339830927555	0.318181818182	0.318181818182	0.318181818182	0.0454545454545
BahiaDunne.web	estuary	Bahia	30.445	95	1736	0.192354570637	18.2736842105	12.1507155837	10.1046511628	10.8327980342	9.14736842105	8.12917866124	0.745576707727	1.0	0.229428841925	0.0947368421053	0.368421052632	0.473684210526	0.0631578947368
CarpinteriaDunne.web	estuary	Carpinteria	34.405	96	1743	0.189127604167	18.15625	11.8310452967	10.0574712644	8.64279159063	9.11458333333	8.93479829989	0.820942982456	1.0	0.293077087421	0.09375	0.270833333333	0.583333333333	0.0520833333333
EsteroDunne.web	estuary	Estero	31.735	118	2754	0.197787991956	23.3389830508	15.2347898633	12.6788990826	11.5582932091	11.7118644068	10.9405959114	0.759814573374	1.0	0.321071213851	0.0762711864407	0.296610169492	0.559322033898	0.0677966101695
WEB205.web	stream	Broadstone	51.01805556	18	110	0.33950617284	6.11111111111	3.08920861655	3.92857142857	3.1727474735	3.05555555556	2.61347410808	0.271241830065	1.0	0.429232804233	0.222222222222	0.333333333333	0.222222222222	0.222222222222
