Thompson Number*Location*Ecotype*Reference*Latitude(degrees)*Latitude(decimal)*Described_Location*Notes**Verdict*Sitename
194*USA*terrestrial*M. McKinnerney. (1978). Carrion Communities in the Northern Chihuahuan Desert. The Southwestern Naturalist. 23(4), pp. 563-  576; see also McKinnerney, M. (1977). Carrion communities in the northern Chihuahuan Desert. M.S. thesis. University of Texas-E...***Chihuahuan Desert***do not use - cannot find original source*
55*Scotland*estuary*Milne, H. and Dunnet, G.M., (1972). Standing crop, productivity and trophic relations of the fauna of the Ythan estuary. In: R.S.K.  Barnes, and J. Green, (eds). The Estuarine Environment, (Applied Science Publications, Edinburgh, Scotland), pp. 86-106. ******do not use - cannot find original source*
56*Scotland*estuary*Milne, H. and Dunnet, G.M., (1972). Standing crop, productivity and trophic relations of the fauna of the Ythan estuary. In: R.S.K.  Barnes, and J. Green, (eds). The Estuarine Environment, (Applied Science Publications, Edinburgh, Scotland), pp. 86-106. ******do not use - cannot find original source*
85*Malaysia*lake*Mizuno, N. & Furtado, J.I. (1982). Ecological notes on fishes. In J. I. Furtado & S. Mori (eds), The Ecology of a Tropical Freshwater  Swamp, the Tasek Bera. (Dr W. Junk Publishers, The Hague), pp.321-349. ***Pos Iskandar***do not use - cannot find original source*
68*Scotland*lake*Morgan, N.C. and McLusky, D.S. (1972). A summary of the Loch Leven IBP results in relation to lake management and future  research. Proc. R. Soc. Edinburgh Series B, 74:407-416. ******do not use - cannot find original source*
101*France*lake*Ohm, P. and Remmert, H. (1955). Etudes sur les rockpools des Pyrenees-Orientales, Vie et Milieu. 6:194-209.******do not use - cannot find original source*
82*France*marine*Ohm, P. and Remmert, H. (1955). Etudes sur les rockpools des Pyrenees-Orientales, Vie et Milieu. 6:194-209.******do not use - cannot find original source*
96*Russia*terrestrial*Osmolovskaya, V.I. (1948). Geographical distribution of raptors in Kazakhstan plains and their importance for pest control. Tr.  Acad. Sci. USSR Inst. Geogr. 41:5-77. ******do not use - cannot find original source*
41*Israel*marine*Parin, N.V. (1970). Ichthyofauna of the epipelagic zone. Israel Program for Scientific Translations, Jerusalem. (U.S. Department of  Commerce Clearinghouse for Federal Scientific and Technical Information, Springfield, VA 22151), from p. 154. ******do not use - cannot find original source*
31*Black Sea*marine*Petipa, T.S., Pavlova, E.V. and Mironov, G.N. (1970). The food web structure, utilization and transport of energy by trophic levels in  the planktonic communities. In: J.H. Steele (ed). Marine food chains. (Oliver and Boyd, Edinburgh), pp. 142-167. ******do not use - cannot find original source*
32*Black Sea*marine*Petipa, T.S., Pavlova, E.V. and Mironov, G.N. (1970). The food web structure, utilization and transport of energy by trophic levels in  the planktonic communities. In: J.H. Steele (ed). Marine food chains. (Oliver and Boyd, Edinburgh), pp. 142-167. ******do not use - cannot find original source*
1*India*estuary*Qazim, S.Z. (1970) Some problems related to the food chain in a tropical estuary. In: J.H. Steele (ed.). (1970) Marine Food Chains.  (Oliver and Boyd, Edinburgh), pp. 45-51, from p. 50. ******do not use - cannot find original source*
211*Canada*stream*Ricker, W.E. (1934). An ecological classification of certain Ontario streams. Univ. Toronto Studies, Biol. Serv. 37, (Publ. Ontario  Fish. Res. Lab.), 49:7-114. ******do not use - cannot find original source*
212*Canada*stream*Ricker, W.E. (1934). An ecological classification of certain Ontario streams. Univ. Toronto Studies, Biol. Serv. 37, (Publ. Ontario  Fish. Res. Lab.), 49:7-114. ******do not use - cannot find original source*
77*Ethiopia*lake*Riedel, D. (1962). Der Margheritensee (Sudabessinien) - Zugleich ein Beitrag zur Kenntnis der Abessinischen Graben-Seen. Arch.  Hydrobiol. 58(4):435-466. ******do not use - cannot find original source*
69*Portugal*estuary*Saldanha, L. (1980). Estudio Ambiental do Estuario do Tejo, Publ. no. 5(4) (CAN/Tejo, Lisbon).******do not use - cannot find original source*
79*Finland*lake*Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.******do not use - cannot find original source*
80*Finland*lake*Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.******do not use - cannot find original source*
73*Austria*lake*Schiemer, F., Bobek, M., Gludovatz, P., Ioschenkohl, A., Zweimuller, I. and Martinetz, M. (1982) Trophische Interaktionen im  Pelagial des Hafnersees, Sitzungsber. Akad. Wiss. Wien Math. Naturwiss. Kl. Abt.  1:191-209. ******do not use - cannot find original source*
195*USA*terrestrial*Schoenly, K. and Reid, W. (1983). Community structure of carrion arthropods in the Chihuahuan Desert. J. Arid Environ. 6:253-263.******do not use - cannot find original source*
196*USA*terrestrial*Schoenly, K. and Reid, W. (1983). Community structure of carrion arthropods in the Chihuahuan Desert. J. Arid Environ. 6:253-263.******do not use - cannot find original source*
100*India*terrestrial*Sharma, I.K. (1980). A study of ecosystems of the Indian desert. Trans. Indian Soc. Desert Technol. and Univ. Center Desert Stud.  5(2):51-55. ******do not use - cannot find original source*
27*England*terrestrial*Varley, G.C. (1970). The concept of energy applied to a woodland community. In: A. Watson, (ed). Animal populations in relation  to their food resources. (Blackwell Scientific, Oxford, England), pp. 389-401. ******do not use - cannot find original source*
184*UK*terrestrial*Beaver, R.A. (1972). Ecological studies on Diptera breeding in dead snails. I. Biology of the species found in Cepaea nemoralis (L.).  The Entomologist 105:41-52. ******do not use - cannot find original source (also source)*
141*Costa Rica*terrestrial*R.P. Seifert, and F. H. Seifert. (1976). A Community Matrix Analysis of Heliconia Insect Communities. The American Naturalist.  110(973), pp. 461-483. ******do not use - competition focused*
142*Costa Rica*terrestrial*R.P. Seifert, and F. H. Seifert. (1976). A Community Matrix Analysis of Heliconia Insect Communities. The American Naturalist.  110(973), pp. 461-483. ******do not use - competition focused*
Hainich  *Germany*terrestrial*Digel unpublished******do not use - could not locate original source*
351*UK*lake*Warren, P.H. (1989) Spatial and Temporal Variation in the Structure of a Freshwater Food Web. Oikos. 55, pp. 299-311.***unknown***do not use - could not locate original source*
German*New Zealand*stream*(Townsend et al. 1998)*44.97 S*44.97*German Creek***do not use - duplicate of web 227*
Canton*New Zealand*stream*(Townsend et al. 1998)*45.752 S*45.752*Canton Stream***do not use - duplicate of web 235*
TreleaseWoods*USA*terrestrial*(Cohen 1989)*40,09,47 N*40.16305556*William Trelease Woods, 5mi NE Urbana***do not use - duplicated in web 59*
Stony *New Zealand*stream*(Townsend et al. 1998)*45.58 S*45.58*Stony Creek***do not use - duplicates web 231*
LittleKyeBurn*New Zealand*stream*(Townsend et al. 1998)*45 S*45*Little Kye Burn***do not use - duplicates web 236*LittleKye
Weddell Sea*Antarctica*marine*(Brose et al. 2006)*58,20.8 - 60,10.4 S*59.26*Weddell-Scotia Confluence***do not use - duplicates web 341*
Montane Forest, Arizona*USA*terrestrial*(Cohen 1989)*36,5-37 N*36.54166667*Kaibab Plateau, Arizona***do not use - duplicates web 60*Kaibab
Ythan*UK*marine*(Cohen et al. 2009)*57,18,32 N*57.30888889*Ythan estuary, Scotland***do not use - duplicates YthanDunne*
210*UK*stream*E. Percival and H. Whitehead (1929). A Quantitative Study of the Fauna of Some Types of Stream-Bed. Journal of Ecology. 17(2),  pp. 282-314. ***Rivers Aire, Nidd, Wharfe***do not use - generalized scheme*
40*Malaysia*terrestrial*J.L. Harrison. (1962). The Distribution of Feeding Habits Among Animals in a Tropical Rain Forest. Journal of Animal Ecology. 31(1),  pp. 53-63. ******do not use - generalized scheme*
92*Tibet*terrestrial*L.W. Swan. (1961). The Ecology of the High Himalayas. Scientific American, pp. 68-78.******do not use - generalized scheme*
29*Arctic seas*marine*M.J. Dunbar. (1954). Arctic and Subarctic Marine Ecology: Immediate Problems. Arctic, 6, pp. 75-90.***Arctic seas generally***do not use - generalized scheme*ArcticSea
125*Unspecified*marine*M.R. Landry. (1977). A review of important concepts in the trophic organization of pelagic ecosystems. Helgolander wiss.  Meeresunters. 30, pp. 8-17. ****general overview, not tied to any site**do not use - generalized scheme*
30*Antarctica*marine*Mackintosh, N.A. (1964). A survey of antarctic biology up to 1945. In: R. Carrick, M. Holdgate, and J. Prevost, (eds). Biologie  antarctique. (Hermann, Paris, France), pp. 3-38. ******do not use - generalized scheme*
50*USA*marine*Nybakken, J.W. (1982). Marine Biology: An Ecological Approach. (Harper and Row, New York).*32,32 - 42 N***generalized scheme**do not use - generalized scheme*
103*Pacific Ocean*marine*Petipa, T.S. (1979). Trophic relationships in communities and the functioning of marine ecosystems: I. Studies in trophic  relationships in pelagic communities of the southern seas of the USSR and in the tropical Pacific. In: M. J. Dunbar, (ed). Marine...******do not use - generalized scheme*
352*Germany*stream*Poepperl, R. (2003). A Quantitative Food Web Model for the Macroinvertebrate Community of a Northern German Lowland  Stream. Internat. Rev. Hydrobiol. 88, pp. 433-452. *54,06 N*54.1****do not use - generalized scheme*
353*Germany*stream*Poepperl, R. (2003). A Quantitative Food Web Model for the Macroinvertebrate Community of a Northern German Lowland  Stream. Internat. Rev. Hydrobiol. 88, pp. 433-452. *54,06 N*54.1****do not use - generalized scheme*
358*Europe*terrestrial*Schroter, D., Wolters, V., and De Ruiter, P.C. (2003). C and N Mineralisation in the Decomposer Food Webs of a European Forest  Transect. Oikos. 102, pp. 294-308. ******do not use - generalized scheme*
48*USA*marine*C.A. Simenstad, J.A. Estes, and K.W. Kenyon. (1978). Aleuts, Sea Otters, and Alternate Stable-State Communities. Science.  200(4340), pp. 403-411. ******do not use - paleoweb*
49*USA*marine*C.A. Simenstad, J.A. Estes, and K.W. Kenyon. (1978). Aleuts, Sea Otters, and Alternate Stable-State Communities. Science.  200(4340), pp. 403-411. ******do not use - paleoweb*
271*Norway*lake*Amundsen, P-A., Lafferty, K.D., Knudsen, R., Primicerio, R., Kristofferson, R., Klemetesen, A., and Kuris, A.M. (2013). New parasites  and predators follow the introduction of two fish species to a subarctic lake: implications for food-web structure an...*69,07 N**Takvatn, Norway*parasites (removed)**do not use - parasites (FL web below)*
295*USA*lake*Preston, D.L., Orlofske, S.A., McLaughlin, J.P., and Johnson, P.T.J. (2012). Food web including infectious agents for a California  freshwater pond. Ecology. 93(7), pp. 1760. *37.66 N*37.66*Quick Pond, N. California*parasites (removed)**do not use - parasites (FL web below)*
248*New Zealand*estuary*R.M. Thompson, K.N. Mouritsen and R. Poulin. (2005). Importance of parasites and their life cycle characteristics in determining  the structure of a large marine food web. Journal of Animal Ecology. 74, pp. 77-85. *45,51,28 S**Company Bay, Otago Harbour*parasites (removed)**do not use - parasites (FL web below)*
312*Mauritius*terrestrial*Kaiser-Bunbury, C.N., Memmott, J., and Muller, C.B. (2009). Community structure of pollination webs of Mauritian heathland  habitats. Perspectives in Plant Ecology, Evolution and Systematics. 11, pp. 241-254. ******do not use - plant-pollinator*
313*Mauritius*terrestrial*Kaiser-Bunbury, C.N., Memmott, J., and Muller, C.B. (2009). Community structure of pollination webs of Mauritian heathland  habitats. Perspectives in Plant Ecology, Evolution and Systematics. 11, pp. 241-254. ******do not use - plant-pollinator*
314*Mauritius*terrestrial*Kaiser-Bunbury, C.N., Valentin, T., Mougal, J., Matatiken, D., and Ghazoul, J. (2011). The tolerance of island plant-pollinator  networks to alien plants. Journal of Ecology, 99, pp. 202-213. ******do not use - plant-pollinator*
315*Mauritius*terrestrial*Kaiser-Bunbury, C.N., Valentin, T., Mougal, J., Matatiken, D., and Ghazoul, J. (2011). The tolerance of island plant-pollinator  networks to alien plants. Journal of Ecology, 99, pp. 202-213. ******do not use - plant-pollinator*
